FID,important,date_note,joinID,lake_name,state_province,year,source,intro_no,fish,effect,effect_notes,fish_note,kokanee,lake_trout,rainbow,various_trout,intro_mode,Longitude_Source,about,Latitude_Source,other,alt_name,year_est,amount,est,unintentional,lon,lat
24,2,,1017,Coeur D Alene Lake,Idaho,1968,Kootenay Lake,1,kokanee,not_established,Not established.,,,,,,Introduced,-116.87,,49.6,,,,200000,No,,-116.8,47.54
,,,1018,Coeur D Alene Lake,Idaho,1969,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,100000,,,-116.8,47.54
,,,1019,Coeur D Alene Lake,Idaho,1974,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,,,,-116.8,47.54
79,1,,1163,Lake Pend Oreille,Idaho,1966,Waterton Lake,1,kokanee,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. ,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. ,,,,,,Introduced,-113.9,,48.98,,,1973,50000,Yes,,-116.33,48.18
,,,1027,Lake Pend Oreille,Idaho,1967,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,210000,,,-116.33,48.18
,,,1028,Lake Pend Oreille,Idaho,1968,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,300000,,,-116.33,48.18
101,,,1033,Palisades Lake,Idaho,1969,Kootenay Lake,1,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,40000,,,-113.58,47.69
102,,,1034,Palisades Reservoir,Idaho,1968,Kootenay Lake,1,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,115500,,,-111.11,43.23
,,,1035,Palisades Reservoir,Idaho,1969,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,210000,,,-111.11,43.23
104,,,1165,Payette Lake,Idaho,1966,Waterton Lake,1,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,,100000,,,-116.09,44.95
,,,1036,Payette Lake,Idaho,1967,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,100000,,,-116.09,44.95
,,,1037,Payette Lake,Idaho,1968,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,94500,,,-116.09,44.95
106,,,1038,Pettit Lake,Idaho,1967,Kootenay Lake,1,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,40000,,,-114.88,43.98
109,1,,1193,Priest Lake,Idaho,1965,Waterton Lake ,1,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,1969,295000,Yes,,-116.87,48.59
,1,,1194,Priest Lake,Idaho,1966,Waterton Lake ,2,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,,400000,,,-116.87,48.59
,,,1041,Priest Lake,Idaho,1967,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,300000,,,-116.87,48.59
112,,,1042,Redfish Lake,Idaho,1966,Kootenay Lake,1,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,50000,,,-114.93,44.12
,,,1043,Redfish Lake,Idaho,1967,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,60000,,,-114.93,44.12
,,,1044,Redfish Lake,Idaho,1968,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,52500,,,-114.93,44.12
123,,,1166,Stanley Lake,Idaho,1966,Waterton Lake,1,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,,50000,,,-115.06,44.24
,,,1047,Stanley Lake,Idaho,1967,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,40000,,,-115.06,44.24
,,,1048,Stanley Lake,Idaho,1968,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,31500,,,-115.06,44.24
138,,,1052,Upper Payette Lake,Idaho,1969,Kootenay Lake,1,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,75000,,,-116.02,45.13
139,,,1053,Upper Priest Lake,Idaho,1968,Kootenay Lake,1,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,1973,100000,Yes,,-116.89,48.78
,,,1054,Upper Priest Lake,Idaho,1969,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,100000,,,-116.89,48.78
142,,,1055,Warm Lake,Idaho,1969,Kootenay Lake,1,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,75000,,,-115.67,44.64
3,,,1167,Ashley Lake,Montana,1968,Waterton Lake ,1,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,1974,4250,Yes,,-114.6,48.21
11,,,1063,Bull Lake,Montana,1975,McGregor Lake  ,1,kokanee,,,,,,,,Introduced,-114.83,,48.03,,,,6000,,,-115.85,48.23
28,,,1172,Crystal Lake,Montana,1968,Waterton Lake ,1,kokanee,not_established,Not established.,,,,,,Introduced,-113.9,,48.98,,,,4250,No,,-116.55,45.22
34,,,1064,Dickey Lake,Montana,1975,McGregor Lake  ,1,kokanee,,,,,,,,Introduced,-114.83,,48.03,,,1975,2000,Yes,,-114.82,48.71
150,,,1065,Holland Lake,Montana,1976,McGregor Lake  ,1,kokanee,not_established,Not established.,,,,,,Introduced,-114.83,,48.03,,,,8000,No,,-113.61,47.45
71,,,1066,Lake Blaine,Montana,1975,McGregor Lake  ,1,kokanee,not_established,Not established.,,,,,,Introduced,-114.83,,48.03,,,,5000,No,,-114.12,48.25
81,,,1185,Little Bitterroot Lake,Montana,1968,Waterton Lake ,1,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,1974,4250,Yes,,-114.72,48.11
88,2,,1188,McGregor Lake,Montana,1968,Waterton Lake ,1,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,1974,4250,Yes,,-114.83,48.03
89,,No mysis were found in 1980.,1067,Middle Thompson Lake,Montana,1975,McGregor Lake  ,1,kokanee,not_established,Not established.,,,,,,Introduced,-114.83,,48.03,,,,14000,No,,-115.07,48.03
121,,,1068,Spar Lake,Montana,1975,McGregor Lake  ,1,kokanee,not_established,Not established.,,,,,,Introduced,-114.83,,48.03,,,,,No,,-115.95,48.26
126,2,,1069,Swan Lake,Montana,1975,McGregor Lake  ,1,kokanee,,,,,,,,Introduced,-114.83,,48.03,,,1980,14000,Yes,,-113.88,47.94
127,,,1070,Tally Lake,Montana,1975,McGregor Lake  ,1,kokanee,not_established,Not established.,,,,,,Introduced,-114.83,,48.03,,,,2000,No,,-114.56,48.41
146,1,,1207,Whitefish Lake,Montana,1968,Waterton Lake ,1,kokanee,,,,,,,,Introduced,-113.9,,48.98,,,1976,4250,Yes,,-114.38,48.45
,,,1136,Pactola Lake,South Dakota,1973,Twin Lakes Reservoir,1,kokanee,,,,,,,,Introduced,-106.33,,39.08,,,,,No,,-103.51,44.08
72,2,,1024,Lake Chelan,Washington,1968,Kootenay Lake,1,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,1975,500000,Yes,,-120.35,48.03
,,,1025,Lake Chelan,Washington,1969,Kootenay Lake,2,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,500000,,,-120.35,48.03
,,,1026,Lake Chelan,Washington,1971,Kootenay Lake,3,kokanee,,,,,,,,Introduced,-116.87,,49.6,,,,500000,,,-120.35,48.03
,,,1164,Lake Sakakawea,North Dakota,1973,Waterton Lake,1,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,,,No,,-102.33,47.79
